;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!

;ALARMS
 
;Analog Alarms
;Analog A,Tagname,HandshakeTagName,HandshakeAutoReset,Acktagname,AckAutoreset,Deadbandvalue,DeadbandType,Outofalarmlabel,AlarmIdentification,Ack File Msg,Ack Printer Message, Ack Message Source,Out of Alm file msg,Out of Alm printer msg,Out of Alm Message Source ,Thresh1 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh2 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh3 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh4 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh5 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh6 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh7 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh8 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,
 
;Digital Alarms
;Digital D,Tagname,type,Label,Severity,Message Source,File msg,Printer msg,Out of alm msg source,Out Of alm File msg,Out of alm Printer msg,Ack msg source,Ack File msg,Ack Printer msg,Alarm Identify,Out of alm label,Ack Tag Name,Ack Auto Reset,Handshake Tag Name,Handshake Auto Reset
"D","Cip1\Valv\XV7104L_ALR","ON","XV7104L","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7104M_ALR","ON","XV7104M","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7104N_ALR","ON","XV7104N","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7104O_ALR","ON","XV7104O","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7105A_ALR","ON","XV7105A","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7105B_ALR","ON","XV7105B","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7105C_ALR","ON","XV7105C","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7105D_ALR","ON","XV7105D","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7105E_ALR","ON","XV7105E","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7105F_ALR","ON","XV7105F","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7105G_ALR","ON","XV7105G","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7105H_ALR","ON","XV7105H","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7105I_ALR","ON","XV7105I","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7105J_ALR","ON","XV7105J","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7105K_ALR","ON","XV7105K","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7105L_ALR","ON","XV7105L","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7105M_ALR","ON","XV7105M","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7105N_ALR","ON","XV7105N","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7105O_ALR","ON","XV7105O","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7106A_ALR","ON","XV7106A","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7106B_ALR","ON","XV7106B","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7106C_ALR","ON","XV7106C","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7106D_ALR","ON","XV7106D","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7106E_ALR","ON","XV7106E","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7106F_ALR","ON","XV7106F","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7106G_ALR","ON","XV7106G","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7106H_ALR","ON","XV7106H","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7106I_ALR","ON","XV7106I","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7106J_ALR","ON","XV7106J","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7106K_ALR","ON","XV7106K","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7106L_ALR","ON","XV7106L","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7106M_ALR","ON","XV7106M","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7106N_ALR","ON","XV7106N","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7106O_ALR","ON","XV7106O","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7107A_ALR","ON","XV7107A","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7107B_ALR","ON","XV7107B","1","S","","","S","","","S","","","","","","N","","N"
"D","CIP1\Valv\XV7107C_ALR","ON","XV7107C","1","S","","","S","","","S","","","","","","N","","N"
"D","CIP1\Valv\XV7107D_ALR","ON","XV7107D","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7110A_ALR","ON","XV7110A","1","S","","","S","","","S","","","","","","N","","N"
"D","cip1\Valv\XV7110B_ALR","ON","XV7110B","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7111A_ALR","ON","XV7111A","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7111B_ALR","ON","XV7111B","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7111C_ALR","ON","XV7111C","1","S","","","S","","","S","","","","","","N","","N"
"D","cip1\Valv\XV7111D_ALR","ON","XV7111D","1","S","","","S","","","S","","","","","","N","","N"
"D","cip1\Valv\XV7111E_ALR","ON","XV7111E","1","S","","","S","","","S","","","","","","N","","N"
"D","cip1\Valv\XV7111F_ALR","ON","XV7111F","1","S","","","S","","","S","","","","","","N","","N"
"D","cip1\Valv\XV7111G_ALR","ON","XV7111G","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7112A_ALR","ON","XV7112A","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7112B_ALR","ON","XV7112B","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7113A_ALR","ON","XV7113A","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7113B_ALR","ON","XV7113B","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7113C_ALR","ON","XV7113C","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7114A_ALR","ON","XV7114A","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7114B_ALR","ON","XV7114B","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7114C_ALR","ON","XV7114C","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7114D_ALR","ON","XV7114D","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7115A_ALR","ON","XV7115A","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7115B_ALR","ON","XV7115B","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7115C_ALR","ON","XV7115C","1","S","","","S","","","S","","","","","","N","","N"
